,0,1,2,3,4,5,6,7
408636,90,97,99,104,58,54,0,0
409148,92,102,106,104,60,51,0,0
409660,94,104,117,108,68,79,0,0
410172,88,110,123,108,69,80,0,0
410684,93,109,117,105,67,79,0,0
411196,92,105,118,107,69,83,0,0
411708,94,105,119,102,67,77,0,0
412220,96,102,120,108,67,81,0,0
412732,93,107,119,104,72,80,0,0
413244,92,105,116,108,70,75,0,0
413756,94,101,121,107,70,80,0,0
414268,93,107,122,106,67,75,0,0
